condition,seed,phase,cost,residual_median,residual_p05,residual_p95,residual_absolute_median,maximum_absolute_residual,prior_ratio_mean,prior_ratio_median,prior_ratio_p05,prior_ratio_p95
D0,7,hold,grasp,-0.0018128930773465065,-0.007539901888829472,0.002426865106280539,0.01671555795816272,0.03160440928491523,0.9978889868722135,0.9981871069226534,0.9924600981111705,1.0024268651062804
D0,7,hold,compression,0.0003039496352934755,-0.00292775820684967,0.0038689859841309904,0.00847541937415525,0.016808565467555367,1.0003793249745931,1.0003039496352935,0.9970722417931503,1.003868985984131
D0,7,hold,velocity,-0.000671718255273806,-0.021320053462131824,0.017339730645278502,0.013424634418106228,0.04295278181985605,0.998506654227579,0.9993282817447262,0.9786799465378682,1.0173397306452785
D0,7,hold,smoothness,-0.00018546798877523512,-0.025946625853343522,0.022351922186188637,0.010936128150964107,0.05017543420393164,0.9992782394017944,0.9998145320112247,0.9740533741466564,1.0223519221861885
D0,17,intercept,object,0.03279646801948547,0.005705827260017393,0.05754675509929656,0.033964972178141276,0.06802788257598877,1.032292706017805,1.0327964680194857,1.0057058272600172,1.0575467550992965
D0,17,intercept,grasp,0.02032457893371582,-0.0011475857772827159,0.03611729887390137,0.03557894439697265,0.05529739196777344,1.0197332847345146,1.0203245789337156,0.9988524142227172,1.0361172988739014
D0,17,intercept,compression,-0.000626613562902606,-0.01700062471254729,0.005850691922371206,0.010489958927184953,0.027321230771821275,0.9980692174128347,0.9993733864370975,0.9829993752874526,1.005850691922371
D0,17,intercept,velocity,0.011219488754868508,-0.055823869638144966,0.03309826542437076,0.025665958970785142,0.07657748073339463,1.0024980134278139,1.0112194887548684,0.9441761303618551,1.0330982654243706
D0,17,intercept,smoothness,-0.0017652367909962413,-0.04249983334914097,0.02938578183746662,0.014113309489737307,0.07230125278530637,0.9970517387568427,0.9982347632090037,0.9575001666508591,1.0293857818374665
D0,17,pre_impact,object,0.02515418148040772,0.012961812822024027,0.04229044183095296,0.02882464941342672,0.048602152824401855,1.0261767119561107,1.0251541814804077,1.0129618128220241,1.0422904418309529
D0,17,pre_impact,grasp,0.014515071563720705,0.005065239234924318,0.023517999031066893,0.029354239654541016,0.04021114395141602,1.0142777224159405,1.0145150715637208,1.0050652392349242,1.023517999031067
D0,17,pre_impact,compression,0.0037686783632135228,-0.000339637124717868,0.006236269718489252,0.011049105756001962,0.013830148141444083,1.0033230889555151,1.0037686783632136,0.9996603628752823,1.0062362697184892
D0,17,pre_impact,velocity,0.009311567904976488,-0.04647464190309039,0.029103311459485567,0.02270179949287927,0.054431365464484446,1.002367875425524,1.0093115679049764,0.9535253580969096,1.0291033114594856
D0,17,pre_impact,smoothness,-0.0012883511836811554,-0.04631429978035623,0.034067987272894264,0.014409527728047688,0.05189751196615047,0.9974019365523268,0.9987116488163188,0.9536857002196438,1.0340679872728942
D0,17,capture,object,0.012545498573678374,0.002940944317834864,0.022969665100219153,0.026531255276194276,0.03882307597421009,1.0125945879894593,1.0125454985736784,1.0029409443178348,1.022969665100219
D0,17,capture,grasp,0.007762980213581358,0.0023672513420122687,0.013699849588852049,0.02359920647568946,0.030723693729344245,1.007844134602375,1.0077629802135812,1.0023672513420123,1.013699849588852
